,title,grade,genre,people,genre2
0,10억,6.26,"모험, 스릴러",433866,모험
1,18: 우리들의 성장 느와르,9.63,"느와르, 드라마",1124,느와르
2,1987,9.31,드라마,7232387,드라마
3,"1991, 봄",9.29,다큐멘터리,6106,다큐멘터리
4,"1999, 면회",8.67,드라마,3405,드라마
5,1급기밀,8.87,드라마,218808,드라마
6,1번가의 기적,8.19,"코미디, 드라마",2535450,코미디
7,2009 로스트 메모리즈,8.06,"SF, 액션",0,SF
8,26년,6.4,액션,2963652,액션
9,"3,000",0.0,드라마,0,드라마
10,4요일,4.57,"공포, 스릴러",26962,"공포, 스릴러"
11,4인용 식탁,6.38,"스릴러, 공포",0,스릴러
12,5백만불의 사나이,4.99,코미디,104736,코미디
13,7광구,3.34,"SF, 액션, 모험",2242510,SF
14,7급 공무원,8.28,"액션, 코미디",4039891,액션
15,7번방의 선물,8.83,코미디,12811714,코미디
16,8월의 크리스마스,9.0,"드라마, 멜로/로맨스",0,멜로/로맨스
17,가깝고도 먼 길,0.0,1978. 개봉,0,1978. 개봉
18,가려진 시간,8.25,"드라마, 판타지",511369,판타지
19,가루지기,4.26,"코미디, 드라마",269478,코미디
20,가문의 영광,6.06,코미디,1160021,코미디
21,가문의 영광,6.06,코미디,1160021,코미디
22,가문의 위기,6.29,코미디,4529876,코미디
23,가문의 부활,3.98,코미디,2598859,코미디
24,가문의 수난,4.15,"코미디, 액션",2368267,코미디
25,가문의 귀환,6.06,코미디,1160021,코미디
26,가비,6.85,"미스터리, 드라마",270602,미스터리
27,가슴 달린 남자,7.56,"코미디, 멜로/로맨스",0,로맨틱코미디
28,가위,7.21,"공포, 스릴러",0,"공포, 스릴러"
29,가을로,7.19,"멜로/로맨스, 드라마",601733,멜로/로맨스
30,가을비 우산속에,0.0,"멜로/로맨스, 드라마",0,멜로/로맨스
31,가족의 탄생,8.57,드라마,201227,드라마
32,각설탕,8.84,"드라마, 가족",1265508,드라마
33,간기남,6.9,"스릴러, 코미디",1246185,스릴러
34,간신,7.05,드라마,1110274,드라마
35,간첩,7.17,"드라마, 코미디, 액션",1310895,코미디
36,간첩 리철진,7.03,"드라마, 코미디",0,코미디
37,간기남,6.9,"스릴러, 코미디",1246185,스릴러
38,감기,6.94,"드라마, 모험, 액션",3117859,모험
39,감시자들,7.76,"범죄, 액션, 스릴러",5509019,범죄
40,강남1970,7.76,"액션, 드라마",2192276,액션
41,강변부인,0.0,1981.01.01. 개봉,0,1981.01.01. 개봉
42,강원도의 힘,6.94,드라마,0,드라마
43,강철대오: 구국의 철가방,6.45,코미디,233211,코미디
44,강철비,8.73,"액션, 드라마",4452850,액션
45,개그맨,7.6,코미디,0,코미디
46,개들의 전쟁,7.29,"액션, 드라마, 코미디",23398,액션
47,개를 훔치는 완벽한 방법,8.79,"드라마, 가족",306904,드라마
48,거룩한 계보,7.52,"드라마, 액션",1433696,액션
49,거북이 달린다,8.42,"범죄, 코미디, 액션",3024666,범죄
50,거울 속으로,7.08,"공포, 스릴러",0,"공포, 스릴러"
51,거짓말,9.14,드라마,5212,드라마
52,건축무한육면각체의 비밀,6.45,미스터리,0,미스터리
53,건축학개론,9.5,멜로/로맨스,4113708,멜로/로맨스
54,걷기왕,8.52,드라마,95542,드라마
55,걸프렌즈,4.91,"멜로/로맨스, 코미디",108396,로맨틱코미디
56,검사외전,8.56,"범죄, 코미디",9707119,범죄
57,검은 사제들,8.55,"미스터리, 드라마",5443232,미스터리
58,검은 집,6.45,"공포, 스릴러",1322196,"공포, 스릴러"
59,게임의 법칙,8.98,"액션, 느와르",0,느와르
60,겨울여자,0.0,"드라마, 멜로/로맨스",0,멜로/로맨스
61,결정적 한방,6.24,"드라마, 코미디",60944,코미디
62,"결혼은, 미친 짓이다",8.55,"드라마, 멜로/로맨스",0,멜로/로맨스
63,결혼전야,7.02,"멜로/로맨스, 코미디",1214839,로맨틱코미디
64,경계,7.0,다큐멘터리,1130,다큐멘터리
65,경성학교: 사라진 소녀들,6.44,"미스터리, 드라마",356436,미스터리
66,고고70,8.02,드라마,595199,드라마
67,고교얄개,8.64,코미디,0,코미디
68,고래사냥,9.06,드라마,0,드라마
69,고死: 피의 중간고사,6.82,"공포, 스릴러",1634192,"공포, 스릴러"
70,고死: 피의 중간고사,6.82,"공포, 스릴러",1634192,"공포, 스릴러"
71,고死 두번째 이야기: 교생실습,4.73,"공포, 스릴러",857038,"공포, 스릴러"
72,"고산자, 대동여지도",8.01,드라마,974262,드라마
73,고속도로,0.0,드라마,0,드라마
74,고양이를 부탁해,10.0,"드라마, 코미디",0,코미디
75,고지전,8.66,"전쟁, 드라마",2945151,전쟁
76,곡성,8.22,"미스터리, 스릴러",6879989,스릴러
77,곤지암,7.51,"공포, 미스터리",2676427,공포
78,골든 슬럼버,6.27,"범죄, 드라마",1387564,범죄
79,공공의 적,9.2,"범죄, 액션",0,범죄
80,공공의 적2,7.49,"드라마, 범죄",3134424,범죄
81,강철중: 공공의 적 1-1,8.53,"범죄, 스릴러, 코미디",4313102,범죄
82,공동경비구역 JSA,9.8,"드라마, 전쟁, 코미디",0,전쟁
83,공모자들,7.01,"범죄, 스릴러",1646142,범죄
84,공범,7.15,스릴러,1766285,스릴러
85,공범자들,9.61,다큐멘터리,260514,다큐멘터리
86,공작,7.86,드라마,4975517,드라마
87,공정사회,10.0,드라마,14537,드라마
88,공조,8.83,액션,7817654,액션
89,공포의 외인구단,7.61,드라마,0,드라마
90,과속스캔들,9.19,코미디,8223342,코미디
91,관능의 법칙,7.64,"드라마, 코미디",781516,코미디
92,관상,8.0,드라마,9135806,드라마
93,광복절 특사,7.96,"코미디, 멜로/로맨스",0,로맨틱코미디
94,광식이 동생 광태,7.79,"멜로/로맨스, 코미디",2024818,로맨틱코미디
95,"광해, 왕이 된 남자",9.24,드라마,12324062,드라마
96,괴물,8.62,"모험, 액션, 스릴러",10917400,모험
97,괴시,7.59,"SF, 공포, 미스터리",0,SF
98,구르믈 버서난 달처럼,6.84,"드라마, 액션",1383867,액션
99,구미호,5.21,"공포, 멜로/로맨스",0,공포
100,구미호 가족,5.52,"뮤지컬, 판타지",141610,뮤지컬
101,구세주: 리턴즈,4.8,코미디,6151,코미디
102,구타유발자들,7.51,"코미디, 범죄",143061,코미디
103,국가대표,8.79,드라마,710166,드라마
104,국가대표 2,8.79,드라마,710166,드라마
105,국제시장,9.16,드라마,14263940,드라마
106,군도: 민란의 시대,7.34,액션,4775811,액션
107,군함도,7.35,"액션, 드라마",6592168,액션
108,굿모닝 프레지던트,6.7,코미디,2554960,코미디
109,굿바이 싱글,8.42,"코미디, 드라마",2108561,코미디
110,궁합,7.49,"코미디, 드라마",1340149,코미디
111,귀신이 산다,6.88,"코미디, 공포, 판타지",1875936,코미디
112,귀여워,5.03,코미디,51276,코미디
113,귀향,9.33,드라마,3587252,드라마
114,그것만이 내 세상,9.17,"코미디, 드라마",3420199,코미디
115,그날의 분위기,7.86,"멜로/로맨스, 코미디",653226,로맨틱코미디
116,그녀를 믿지 마세요,8.85,"코미디, 멜로/로맨스",298221,로맨틱코미디
117,그놈 목소리,7.46,"드라마, 미스터리",2972299,미스터리
118,그놈이다,7.53,스릴러,1046313,스릴러
119,그대를 사랑합니다,9.33,드라마,1649407,드라마
120,그대 안의 블루,8.21,멜로/로맨스,0,멜로/로맨스
121,그때 그 사람들,7.46,"미스터리, 코미디",890602,미스터리
122,그럼에도 불구하고,8.85,다큐멘터리,1607,다큐멘터리
123,그림자 살인,7.34,스릴러,1892467,스릴러
124,그물,8.37,드라마,56553,드라마
125,그해 여름,8.83,"멜로/로맨스, 드라마",290564,멜로/로맨스
126,극락도 살인사건,6.93,"미스터리, 스릴러",2079989,스릴러
127,극비수사,8.35,"드라마, 범죄",2860786,범죄
128,극한직업,9.2,코미디,16266240,코미디
129,글러브,8.84,드라마,1887733,드라마
130,글로리데이,8.55,드라마,189442,드라마
131,기담,7.48,공포,644111,공포
132,기방도령,7.07,코미디,287053,코미디
133,기술자들,7.91,"범죄, 액션",2564340,범죄
134,기생충,9.07,드라마,10307053,드라마
135,기억의 밤,8.41,"미스터리, 스릴러",1387779,스릴러
136,긴급조치 19호,4.62,코미디,0,코미디
137,김관장 대 김관장 대 김관장,4.56,"코미디, 액션",925661,코미디
138,김복남 살인 사건의 전말,8.74,스릴러,161722,스릴러
139,김씨 표류기,8.73,드라마,725031,드라마
140,김종욱 찾기,8.28,"멜로/로맨스, 코미디",1122225,로맨틱코미디
141,까불지마,7.1,"코미디, 액션",155308,코미디
142,깡패수업,7.24,"범죄, 액션, 코미디",0,범죄
143,꽃순이를 아시나요,0.0,드라마,0,드라마
144,꽃잎,7.66,드라마,0,드라마
145,꾼,8.32,범죄,4018341,범죄
146,꿈의 제인,8.87,드라마,25110,드라마
147,끝까지 간다,8.83,"범죄, 액션",3450381,범죄
148,나가요 미스콜,3.03,"멜로/로맨스, 코미디",338,로맨틱코미디
149,나는 77번 아가씨,0.0,"멜로/로맨스, 드라마",0,멜로/로맨스
150,나는 고양이로소이다,9.34,다큐멘터리,8496,다큐멘터리
151,나는 왕이로소이다,7.42,"드라마, 코미디",790181,코미디
152,나를 잊지 말아요,6.72,멜로/로맨스,427113,멜로/로맨스
153,나의 독재자,7.37,드라마,386074,드라마
154,나의 사랑 나의 신부(1990),8.09,"멜로/로맨스, 코미디",0,로맨틱코미디
155,나의 사랑 나의 신부(2014),8.39,"멜로/로맨스, 코미디",2141155,로맨틱코미디
156,나의 절친 악당들,5.48,"액션, 범죄, 드라마",133555,액션
157,나의 PS 파트너,8.24,"멜로/로맨스, 코미디",1831741,로맨틱코미디
158,나쁜남자,3.35,드라마,0,드라마
159,나쁜 녀석들: 더 무비,8.16,"범죄, 액션",4573903,범죄
160,나쁜놈은 죽는다,6.73,"액션, 코미디",14951,액션
161,나쁜 피,6.68,범죄,1341,범죄
162,나탈리,4.75,멜로/로맨스,94875,멜로/로맨스
163,나랏말싸미,6.75,드라마,958775,드라마
164,낙동강은 흐르는가,0.0,1976.10.23. 개봉,0,1976.10.23. 개봉
165,남과 여,7.56,멜로/로맨스,203729,멜로/로맨스
166,남극일기,5.5,"미스터리, 공포",871235,미스터리
167,남부군,7.25,"전쟁, 드라마",0,전쟁
168,남영동1985,7.23,드라마,332643,드라마
169,남자가 사랑할 때,8.48,드라마,1980120,드라마
170,남자사용설명서,6.97,"멜로/로맨스, 코미디",507913,로맨틱코미디
171,남쪽으로 튀어,7.81,"드라마, 코미디",832894,코미디
172,남한산성,8.17,드라마,3849129,드라마
173,너는 내 운명,9.07,"멜로/로맨스, 드라마",2701974,멜로/로맨스
174,넘버 3,8.46,"코미디, 범죄, 액션",0,코미디
175,내가 버린 남자,0.0,드라마,0,드라마
176,내가 버린 여자,0.0,멜로/로맨스,0,멜로/로맨스
177,내가 살인범이다,8.48,"액션, 스릴러",2729830,스릴러
178,내 깡패 같은 애인,9.06,"코미디, 드라마",688639,코미디
179,내 마음의 풍금,8.91,"드라마, 멜로/로맨스",0,멜로/로맨스
180,내 머리속의 지우개,9.09,"멜로/로맨스, 코미디",1887868,로맨틱코미디
181,내부자들,9.06,"범죄, 드라마",7073581,범죄
182,내사랑 내곁에,7.03,드라마,2135509,드라마
183,내 아내의 모든것,8.57,"멜로/로맨스, 코미디",4598985,로맨틱코미디
184,내 여자친구를 소개합니다,6.33,멜로/로맨스,1298666,멜로/로맨스
185,내 연애의 기억,6.58,"멜로/로맨스, 코미디",46775,로맨틱코미디
186,내 친구 정일우,9.59,다큐멘터리,12245,다큐멘터리
187,노무현입니다,9.49,다큐멘터리,1855515,다큐멘터리
188,노브레싱,7.58,드라마,451669,드라마
189,노후 대책 없다,8.29,다큐멘터리,1788,다큐멘터리
190,녹색의자,5.72,"멜로/로맨스, 드라마",366,멜로/로맨스
191,누구나 비밀은 있다,5.86,"멜로/로맨스, 코미디",542955,로맨틱코미디
192,눈에는 눈 이에는 이,7.89,"범죄, 액션, 스릴러",2058616,범죄
193,늑대소년,8.65,"멜로/로맨스, 드라마",7069353,멜로/로맨스
194,늑대의 유혹,7.69,"멜로/로맨스, 드라마",1297296,멜로/로맨스
195,"님아, 그 강을 건너지 마오",9.16,다큐멘터리,4802416,다큐멘터리
196,님은 먼 곳에,7.83,"전쟁, 드라마, 모험",1706495,전쟁
197,다세포 소녀,2.22,"코미디, 멜로/로맨스",476732,로맨틱코미디
198,다찌마와 리,0.0,"코미디, 액션",0,코미디
199,다이빙벨,9.57,다큐멘터리,50310,다큐멘터리
200,닥터 봉,6.8,"코미디, 멜로/로맨스",0,로맨틱코미디
201,닫힌 교문을 열며,0.0,93분,0,93분
202,"당신, 거기 있어줄래요",8.8,"판타지, 드라마",1168782,판타지
203,달마야 놀자,8.37,"코미디, 액션",0,코미디
204,달마야 서울가자,5.09,코미디,703507,코미디
205,달은… 해가 꾸는 꿈,6.37,"느와르, 액션",0,느와르
206,달콤한 인생,8.56,"느와르, 액션, 드라마",1112950,느와르
207,당신의 부탁,8.49,"드라마, 가족",25920,드라마
208,대립군,7.59,드라마,837500,드라마
209,대배우,7.12,코미디,169983,코미디
210,대한민국 헌법 제1조,7.14,코미디,0,코미디
211,대호,8.21,드라마,1762733,드라마
212,댄싱퀸,8.87,"코미디, 드라마",4058225,코미디
213,더 게임,7.41,스릴러,1479859,스릴러
214,더 킥,6.94,액션,51024,액션
215,더 킹,8.39,"범죄, 드라마",5318007,범죄
216,더 테러 라이브,8.28,"스릴러, 드라마",5584295,스릴러
217,더 폰,8.05,"액션, 스릴러",1596762,스릴러
218,덕혜옹주,8.72,"서사, 드라마",5599995,서사
219,도가니,9.27,드라마,4662926,드라마
220,도리화가,7.29,드라마,317505,드라마
221,도마 안중근,4.14,드라마,20318,드라마
222,도둑들,7.62,"범죄, 액션, 드라마",12984692,범죄
223,도레미파솔라시도,6.64,드라마,197672,드라마
224,도마뱀,7.08,"멜로/로맨스, 드라마",364848,멜로/로맨스
225,도희야,7.27,드라마,106781,드라마
226,독전,8.41,"범죄, 액션",5201715,범죄
227,돈을 갖고 튀어라,7.56,"코미디, 멜로/로맨스",0,로맨틱코미디
228,돈 크라이 마미,6.44,"스릴러, 드라마",975462,스릴러
229,돈을 갖고 튀어라,7.56,"코미디, 멜로/로맨스",0,로맨틱코미디
230,돈의 맛,6.79,드라마,1166025,드라마
231,돌아와요 부산항애,6.11,"범죄, 액션, 드라마",6954,범죄
232,돌려차기,7.23,"코미디, 액션",41401,코미디
233,돌멩이의 꿈,7.05,드라마,515,드라마
234,돌아오지 않는 해병,8.38,"전쟁, 드라마, 액션",0,전쟁
235,돌연변이,7.43,"드라마, 코미디",100543,코미디
236,동감,9.0,"멜로/로맨스, 판타지",0,멜로/로맨스
237,동갑내기 과외하기,7.82,코미디,0,코미디
238,동갑내기 과외하기2,6.44,코미디,514669,코미디
239,동네사람들,7.13,"액션, 스릴러",461693,스릴러
240,동주,9.18,드라마,1176468,드라마
241,동창생,7.31,"액션, 드라마",1048280,액션
242,돼지가 우물에 빠진 날,7.89,드라마,0,드라마
243,된장,7.38,미스터리,45180,미스터리
244,두근두근 내 인생,7.51,드라마,1624573,드라마
245,두만강,7.87,"드라마, 전쟁",2542,전쟁
246,두사부일체,7.44,"코미디, 액션",0,코미디
247,디 워,7.54,"판타지, 액션",7855474,판타지
248,디 워 2,0.0,"판타지, SF, 모험",0,판타지
249,또 하나의 약속,9.25,드라마,497994,드라마
250,똑바로 살아라,0.0,범죄,0,범죄
251,똥개,7.81,드라마,0,드라마
252,똥파리,9.0,드라마,123029,드라마
253,뚫어야 산다,2.96,"범죄, 코미디, 액션",0,범죄
254,라디오 스타,9.2,"코미디, 드라마",1590774,코미디
255,라라,8.0,"멜로/로맨스, 드라마",1860,멜로/로맨스
256,라스트 갓파더,6.24,코미디,2541603,코미디
257,라이터를 켜라,7.66,코미디,0,코미디
258,럭키,8.76,코미디,6975631,코미디
259,런닝맨,7.77,"액션, 코미디",1422844,액션
260,레나,8.2,"멜로/로맨스, 드라마",3523,멜로/로맨스
261,레드슈즈,9.15,"애니메이션, 모험",818662,애니메이션
262,레드 아이,3.23,공포,210793,공포
263,레슬러,6.43,"드라마, 코미디",771159,코미디
264,로니를 찾아서,7.82,드라마,1478,드라마
265,로마서 8:37,9.0,"드라마, 가족, 범죄",5059,가족
266,"로봇, 소리",8.25,드라마,476653,드라마
267,롤러코스터,6.42,코미디,270156,코미디
268,루시드 드림,8.05,"SF, 스릴러",102170,SF
269,리얼,4.43,"액션, 느와르",470195,느와르
270,마고,3.83,드라마,0,드라마
271,마녀,8.57,"미스터리, 액션",3189091,미스터리
272,마담 뺑덕,6.54,멜로/로맨스,471248,멜로/로맨스
273,마더,9.45,"범죄, 미스터리",2981953,미스터리
274,마돈나,7.81,드라마,18276,드라마
275,마스터,8.65,"액션, 범죄",7147924,액션
276,마약왕,7.18,"범죄, 드라마",1864077,범죄
277,마유미,8.07,"드라마, 범죄, 스릴러",0,범죄
278,마음이...,8.96,"가족, 드라마",817939,가족
279,마이웨이,7.17,드라마,2142670,드라마
280,마이 파더,8.41,드라마,901055,드라마
281,마파도,7.16,"코미디, 모험",2636857,코미디
282,만남의광장,6.03,코미디,1211528,코미디
283,만추,9.44,드라마,850411,드라마
284,말아톤,9.22,드라마,4196859,드라마
285,말죽거리 잔혹사,8.77,"드라마, 액션",604972,액션
286,망원동 인공위성,8.72,다큐멘터리,3022,다큐멘터리
287,멋진 하루,8.19,"드라마, 멜로/로맨스",397669,멜로/로맨스
288,명량,8.88,"액션, 드라마",17615658,액션
289,맨데이트: 신이 주신 임무,3.43,"액션, 스릴러, 판타지",12144,액션
290,맨발의 기봉이,7.21,"코미디, 드라마",2005180,코미디
291,맨홀,6.03,"공포, 스릴러",133665,"공포, 스릴러"
292,메소드(영화),8.07,"드라마, 멜로/로맨스",26651,멜로/로맨스
293,모노폴리,6.4,"범죄, 스릴러",358299,범죄
294,목숨 건 연애,7.53,"멜로/로맨스, 코미디",48010,로맨틱코미디
295,목포는 항구다,6.87,"코미디, 액션",425725,코미디
296,몬스터,6.26,스릴러,526547,스릴러
297,무뢰한,7.3,"멜로/로맨스, 드라마",415510,멜로/로맨스
298,무방비도시,7.55,"범죄, 액션",1600856,범죄
299,무사,8.84,"드라마, 액션",0,액션
300,무서운 이야기,4.97,공포,97804,공포
301,무서운 이야기 2,6.62,공포,495535,공포
302,무서운 이야기 3,4.97,공포,97804,공포
303,무서운 집,8.94,공포,1079,공포
304,무수단,7.64,"미스터리, 스릴러",15882,스릴러
305,무영검,6.81,액션,519722,액션
306,"무현, 두 도시 이야기",9.44,다큐멘터리,197225,다큐멘터리
307,미나 문방구,7.06,"드라마, 코미디",334323,코미디
308,미녀는 괴로워,8.79,"코미디, 멜로/로맨스",6081480,로맨틱코미디
309,미술관 옆 동물원,8.75,"멜로/로맨스, 드라마",0,멜로/로맨스
310,미스터 고,7.76,"드라마, 코미디, 액션",1329061,코미디
311,미스터 소크라테스,7.78,"범죄, 액션, 코미디",1066103,범죄
312,미스 프레지던트,8.13,다큐멘터리,6749,다큐멘터리
313,미쓰 백,9.26,드라마,723110,드라마
314,미쓰 와이프,8.68,코미디,988451,코미디
315,미씽: 사라진 여자,8.53,"미스터리, 가족",1153201,미스터리
316,미워도 다시한번,0.0,드라마,0,드라마
317,미인,4.43,드라마,0,드라마
318,미인도,6.32,"멜로/로맨스, 드라마",2342579,멜로/로맨스
319,미지왕,6.44,코미디,0,코미디
320,미확인 동영상: 절대클릭금지,6.15,"공포, 스릴러",867386,"공포, 스릴러"
321,밀양(영화),7.89,드라마,1604819,드라마
322,밀정,8.57,액션,7500457,액션
323,바람,9.27,"드라마, 액션, 가족",103628,액션
324,바람과 함께 사라지다,7.59,"코미디, 액션",4909944,코미디
325,바람난 가족,6.85,드라마,0,드라마
326,바람 바람 바람,6.65,코미디,1194239,코미디
327,바람의 파이터,8.17,"액션, 드라마",1442299,액션
328,바람 피기 좋은 날,5.79,"멜로/로맨스, 코미디",1708979,로맨틱코미디
329,바르게 살자,8.05,코미디,2135606,코미디
330,바보,8.05,드라마,967654,드라마
331,바보들의 행진,8.95,"드라마, 코미디, 모험",0,코미디
332,바비,6.88,드라마,2416,드라마
333,바이오맨,8.45,"SF, 가족, 액션",0,SF
334,박대박(영화),0.0,코미디,0,코미디
335,박수건달,8.11,코미디,3897969,코미디
336,박수칠 때 떠나라,7.77,"코미디, 미스터리",2073641,코미디
337,박열,8.48,"드라마, 모험",2359707,드라마
338,박쥐,6.26,멜로/로맨스,2208165,멜로/로맨스
339,박하 사탕,9.38,드라마,0,드라마
340,반가운 살인자,7.6,"코미디, 범죄, 스릴러",590531,코미디
341,반두비,6.77,"드라마, 멜로/로맨스",7763,멜로/로맨스
342,반창꼬,8.58,"드라마, 멜로/로맨스",2475797,멜로/로맨스
343,반칙왕,8.38,"코미디, 드라마",0,코미디
344,밤섬해적단 서울불바다,8.92,다큐멘터리,2427,다큐멘터리
345,밤의 여왕,6.88,"멜로/로맨스, 코미디",252475,로맨틱코미디
346,방울토마토,6.89,"가족, 드라마",18478,가족
347,방자전,7.41,드라마,2985556,드라마
348,방황하는 칼날,7.48,"스릴러, 범죄",989593,스릴러
349,배우는 배우다,6.74,드라마,112029,드라마
350,백야,8.81,드라마,0,드라마
351,백야행 - 하얀 어둠 속을 걷다,7.96,"미스터리, 멜로/로맨스",949896,미스터리
352,번지점프를 하다,8.45,멜로/로맨스,0,멜로/로맨스
353,범죄도시,9.28,액션,6880546,액션
354,범죄와의 전쟁: 나쁜놈들 전성시대,8.63,"범죄, 드라마",4720172,범죄
355,범죄의 여왕,8.42,스릴러,43866,스릴러
356,범죄의 재구성,8.78,"범죄, 스릴러, 코미디",943241,범죄
357,베를린,7.83,"액션, 드라마",7166688,액션
358,베스트셀러,7.6,미스터리,1081752,미스터리
359,베테랑,9.24,"액션, 드라마",13414484,액션
360,변호인,9.29,드라마,11375123,드라마
361,보안관,8.26,"범죄, 코미디",2588628,범죄
362,보통사람,8.49,드라마,383336,드라마
363,복면달호,7.49,"코미디, 드라마",1507970,코미디
364,복수는 나의 것,8.38,"범죄, 스릴러",0,범죄
365,복수혈전,8.86,액션,0,액션
366,봄날은 간다,9.31,"드라마, 멜로/로맨스",0,멜로/로맨스
367,봉이 김선달,8.26,"코미디, 모험",2051386,코미디
368,봉자,5.74,드라마,0,드라마
369,부당거래,8.69,"범죄, 드라마",2725860,범죄
370,부라더,7.83,코미디,1492903,코미디
371,부러진 화살,8.92,드라마,3460212,드라마
372,부산행,8.59,"액션, 스릴러",11567662,스릴러
373,분노의 윤리학,6.73,"범죄, 드라마",225618,범죄
374,분홍신,5.53,"공포, 스릴러",1073189,"공포, 스릴러"
375,불꽃처럼 나비처럼,6.95,"드라마, 멜로/로맨스",1670652,멜로/로맨스
376,불신지옥,7.92,"공포, 미스터리",248291,공포
377,불청객,5.41,"공포, 스릴러",31,"공포, 스릴러"
378,불한당: 나쁜 놈들의 세상,8.14,"범죄, 액션, 드라마",963239,범죄
379,뷰티풀 선데이,7.37,"드라마, 액션, 스릴러",169036,액션
380,뷰티 인사이드,8.26,멜로/로맨스,2058096,멜로/로맨스
381,브라보 마이 라이프,8.01,"코미디, 드라마",71409,코미디
382,블라인드,8.08,스릴러,2367942,스릴러
383,블랙잭,0.0,애니메이션,0,애니메이션
384,블루,9.03,드라마,0,드라마
385,비밀은 없다,7.0,스릴러,250975,스릴러
386,비스티 보이즈,7.1,드라마,719587,드라마
387,비열한 거리,8.79,"범죄, 액션, 느와르",1829887,범죄
388,비천괴수,0.0,1985.01.12. 개봉,0,1985.01.12. 개봉
389,비천무,5.99,"액션, 멜로/로맨스",0,액션
390,비트,8.85,액션,0,액션
391,빅매치,7.82,액션,1177435,액션
392,빨간마후라,7.5,"액션, 드라마",1201944,액션
393,뺑반,7.16,"범죄, 액션",1827020,범죄
394,뻐꾸기도 밤에 우는가,0.0,드라마,0,드라마
395,사과,7.9,"멜로/로맨스, 드라마",58233,멜로/로맨스
396,사냥,5.92,"액션, 스릴러",645834,스릴러
397,사도,8.49,드라마,6247651,드라마
398,사랑니(영화),10.0,"멜로/로맨스, 드라마",135698,멜로/로맨스
399,사랑방 손님과 어머니,9.01,"드라마, 멜로/로맨스",0,멜로/로맨스
400,사랑하기 때문에,8.38,"코미디, 멜로/로맨스",340936,로맨틱코미디
401,사랑하는 사람아,8.95,"드라마, 멜로/로맨스",0,멜로/로맨스
402,사생결단,7.43,"느와르, 액션",1724709,느와르
403,산딸기,0.0,멜로/로맨스,0,멜로/로맨스
404,산상수훈,8.29,드라마,55033,드라마
405,살어리랏다,8.82,드라마,0,드라마
406,살인의 추억,9.65,"범죄, 미스터리",0,미스터리
407,살인의뢰,7.04,"범죄, 스릴러",855988,범죄
408,살인자,4.13,스릴러,88199,스릴러
409,살인자의 기억법,8.17,"범죄, 스릴러",2658589,범죄
410,삼거리극장,8.05,뮤지컬,16063,뮤지컬
411,삼인조,5.98,코미디,0,코미디
412,상류사회,5.66,드라마,768249,드라마
413,상의원,7.8,드라마,790370,드라마
414,색즉시공,7.28,코미디,0,코미디
415,생과부 위자료 청구소송,7.1,"드라마, 코미디",0,코미디
416,생활의 발견,7.63,"드라마, 멜로/로맨스",0,멜로/로맨스
417,서부전선,7.17,"전쟁, 드라마",609063,전쟁
418,서양골동양과자점 앤티크,8.21,드라마,1181332,드라마
419,서편제,8.67,드라마,0,드라마
